marca,modelo,precio,kilometraje,motor,region,año,combustible,transmision
JAC,S2,6.99,75000,1.5,Metropolitana,2019,gasolina,mecanico
BMW,320,39.9,16000,2.0,Metropolitana,2023,diesel,automatico
MAZDA,MAZDA3,11.99,61000,2.0,Metropolitana,2019,gasolina,mecanico
BMW,220,19.99,82000,,Metropolitana,2018,gasolina,automatico
VOLKSWAGEN,TIGUAN,15.1,95541,2.0,Metropolitana,2018,gasolina,automatico
AUDI,A3,0.75,145000,1.2,O’Higgins,2012,gasolina,automatico
BMW,X3,14.59,151913,3.0,Metropolitana,2015,gasolina,automatico
NISSAN,NAVARA,37.99,11000,2.3,Biobío,2024,diesel,automatico
MG,3,7.99,24000,,Metropolitana,2020,gasolina,automatico
MINI,F56,12.9,94183,1.5,Metropolitana,2015,gasolina,automatico
SSANGYONG,REXTON,15.49,125000,2.2,Valparaíso,2019,diesel,automatico
FORD,FOCUS,11.49,69000,2.0,Metropolitana,2019,gasolina,automatico
VOLVO,V60CC,12.98,100800,2.4,Metropolitana,2017,diesel,automatico
PEUGEOT,208,13.97,50788,1.2,Metropolitana,2021,gasolina,automatico
AUDI,A3,13.3,90673,1.4,Metropolitana,2018,gasolina,automatico
HONDA,PILOT,28.99,82000,3.5,Metropolitana,2020,gasolina,automatico
AUDI,A3,0.75,145000,1.2,O’Higgins,2012,gasolina,automatico
NISSAN,NAVARA,37.99,11000,2.3,Biobío,2024,diesel,automatico
VOLVO,S60,15.6,103000,2.0,Metropolitana,2019,diesel,automatico
CHEVROLET,SILVERADO,33.48,86920,5.3,Metropolitana,2021,gasolina,automatico
NISSAN,SENTRA,11.49,53709,2.0,Metropolitana,2019,gasolina,mecanico
AUDI,A3,0.75,145000,1.2,O’Higgins,2012,gasolina,automatico
NISSAN,NAVARA,37.99,11000,2.3,Biobío,2024,diesel,automatico
VOLKSWAGEN,BORA,4.99,123180,2.0,Biobío,2011,gasolina,automatico
CHERY,TIGGO 7 PRO,13.99,20000,1.5,Biobío,2023,gasolina,automatico
PEUGEOT,301,8.99,131535,1.6,Biobío,2021,diesel,mecanico
HONDA,CIVIC,14.49,105000,1.8,Metropolitana,2016,gasolina,automatico
JEEP,GRAND CHEROKEE,9.99,194395,3.6,Biobío,2014,gasolina,automatico
VOLVO,XC70,9.99,241307,2.4,Metropolitana,2013,diesel,automatico
FORD,ECOSPORT,11.29,65846,1.5,Metropolitana,2021,gasolina,automatico
LAND ROVER,DISCOVERY,32.98,53408,3.0,Metropolitana,2018,gasolina,automatico
LAND ROVER,RANGE ROVER VELAR,34.99,71000,2.0,Los Lagos,2019,gasolina,automatico
HYUNDAI,TUCSON,10.99,150000,2.0,Los Lagos,2016,gasolina,automatico
HYUNDAI,TUCSON,7.99,85000,2.0,Metropolitana,2014,gasolina,automatico
SUZUKI,CELERIO,6.49,96000,1.0,Los Lagos,2021,gasolina,mecanico
AUDI,A3,0.75,145000,1.2,O’Higgins,2012,gasolina,automatico
NISSAN,NAVARA,37.99,11000,2.3,Biobío,2024,diesel,automatico
CHEVROLET,CRUZE,5.78,150000,2.0,Valparaíso,2013,diesel,mecanico
MAZDA,CX-3,13.5,70000,,Metropolitana,2019,gasolina,mecanico
