id;enlace;titulo;marca;modelo;motor;combustible;kilometraje;transmision;precio;localidad;region
CL-AD-15559832;https://www.chileautos.cl/vehiculos/detalles/2010-mazda-2-1-5-v/CL-AD-15559832/?Cr=407;2010 Mazda 2 1.5 V;MAZDA;MAZDA2;15;Bencina;117000;Manual;5200000.0;Las Condes;
CL-AD-15510215;https://www.chileautos.cl/vehiculos/detalles/2020-mazda-cx-9-2-5-gtx-auto-4wd/CL-AD-15510215/?Cr=408;2020 Mazda Cx-9 2.5 GTX Auto 4WD;MAZDA;CX-9;25;Bencina;36500;Automatica;28490000.0;Las Condes;
CP-AD-8252205;https://www.chileautos.cl/vehiculos/detalles/2016-mazda-cx-3-2-0-r-automatico/CP-AD-8252205/?Cr=409;2016 Mazda Cx-3 2.0 R Automatico;;;;Bencina;118000;Automatica;11580000.0;;
CL-AD-15644588;https://www.chileautos.cl/vehiculos/detalles/2020-mazda-cx-5-2-5-skyactiv-gtx-auto-4wd/CL-AD-15644588/?Cr=410;2020 Mazda Cx-5 2.5 Skyactiv GTX Auto 4WD;MAZDA;CX-5;25;Bencina;38700;Automatica;19200000.0;Talca; Maule
CL-AD-15636834;https://www.chileautos.cl/vehiculos/detalles/2019-mazda-cx-5-2-0-skyactiv-r-auto/CL-AD-15636834/?Cr=411;2019 Mazda Cx-5 2.0 Skyactiv R Auto;MAZDA;CX-5;20;Bencina;72000;Automatica;16490000.0;Las Condes;
CL-AD-15678996;https://www.chileautos.cl/vehiculos/detalles/2014-mazda-cx-5-2-0-skyactiv-r-auto/CL-AD-15678996/?Cr=412;2014 Mazda Cx-5 2.0 Skyactiv R Auto;MAZDA;CX-5;20;Bencina;120000;Automatica;9990000.0;Pudahuel;
CL-AD-15842751;https://www.chileautos.cl/vehiculos/detalles/2010-mazda-2/CL-AD-15842751/?Cr=413;2010 Mazda 2;;;;Bencina;125351;Manual;4600000.0;Machali; OHiggins
CL-AD-11980223;https://www.chileautos.cl/vehiculos/detalles/2017-mazda-bt-50/CL-AD-11980223/?Cr=414;2017 Mazda Bt-50;;;;Bencina;108500;Manual;25500000.0;Quilpue;
CL-AD-11816069;https://www.chileautos.cl/vehiculos/detalles/2014-mazda-cx-5/CL-AD-11816069/?Cr=415;2014 Mazda Cx-5;;;;Bencina;144000;Automatica;11500000.0;Colina;
CL-AD-14375872;https://www.chileautos.cl/vehiculos/detalles/2011-mazda-6-2-0-v-auto/CL-AD-14375872/?Cr=416;2011 Mazda 6 2.0 V Auto;MAZDA;MAZDA6;20;Bencina;180000;Automatica;7000000.0;Nunoa;
CL-AD-14834057;https://www.chileautos.cl/vehiculos/detalles/2012-mazda-3-sport/CL-AD-14834057/?Cr=417;2012 Mazda 3 Sport;;;;Bencina;131000;Manual;6500000.0;Pudahuel;
CL-AD-13005589;https://www.chileautos.cl/vehiculos/detalles/2012-mazda-5-2-0-mav-v-auto/CL-AD-13005589/?Cr=418;2012 Mazda 5 2.0 MAV V Auto;MAZDA;MAZDA5;20;Bencina;2300000;Automatica;6700000.0;Lampa;
CL-AD-15623256;https://www.chileautos.cl/vehiculos/detalles/2021-mazda-cx-3-2-0-r-auto-skyactive/CL-AD-15623256/?Cr=419;2021 Mazda Cx-3 2.0 R Auto Skyactive;MAZDA;CX-3;20;Bencina;22000;Automatica;15000000.0;Coquimbo; Coquimbo
CL-AD-13021209;https://www.chileautos.cl/vehiculos/detalles/2021-mazda-cx-5-2-0-skyactiv-gt-auto-4wd/CL-AD-13021209/?Cr=420;2021 Mazda Cx-5 2.0 Skyactiv GT Auto 4WD;MAZDA;CX-5;20;Bencina;30000;Automatica;25000000.0;Santiago;
CL-AD-14194699;https://www.chileautos.cl/vehiculos/detalles/2021-mazda-3-sport/CL-AD-14194699/?Cr=421;2021 Mazda 3 Sport;;;;Bencina;90000;Manual;13900000.0;Linares; Maule
CL-AD-15778717;https://www.chileautos.cl/vehiculos/detalles/2013-mazda-2-1-5-v-auto/CL-AD-15778717/?Cr=422;2013 Mazda 2 1.5 V Auto;MAZDA;MAZDA2;15;Bencina;117477;Automatica;7100000.0;Providencia;
CL-AD-15813149;https://www.chileautos.cl/vehiculos/detalles/2012-mazda-cx-7/CL-AD-15813149/?Cr=423;2012 Mazda Cx-7;;;;Bencina;100100;Automatica;8300000.0;Nunoa;
CL-AD-12871148;https://www.chileautos.cl/vehiculos/detalles/2012-mazda-3-1-6-v/CL-AD-12871148/?Cr=424;2012 Mazda 3 1.6 V;MAZDA;MAZDA3;16;Bencina;322000;Manual;12500000.0;Santiago;
CL-AD-12558224;https://www.chileautos.cl/vehiculos/detalles/2014-mazda-cx-5-2-0-skyactiv-r-auto/CL-AD-12558224/?Cr=425;2014 Mazda Cx-5 2.0 Skyactiv R Auto;MAZDA;CX-5;20;Bencina;141000;Automatica;11000000.0;Las Condes;
CL-AD-13254483;https://www.chileautos.cl/vehiculos/detalles/2014-mazda-bt-50-2-2-dsl-dx-4wd/CL-AD-13254483/?Cr=426;2014 Mazda Bt-50 2.2 DSL DX 4WD;MAZDA;BT-50;22;Diesel;348000;Manual;15500000.0;Padre de las casas;Araucania
CL-AD-12860814;https://www.chileautos.cl/vehiculos/detalles/2021-mazda-3-2-0-skyactiv-g-v/CL-AD-12860814/?Cr=427;2021 Mazda 3 2.0 Skyactiv-G V;MAZDA;MAZDA3;20;Bencina;32000;Manual;16490000.0;Penalolen;
